Newspaper,Calendar,City,County,First Issue,Last Issue,Number of Issues
Adair County news (The),ada1900010301,Columbia,Adair,"Adair%20County%20news%20(The),%201900-01-03","Adair%20County%20news%20(The),%201922-12-26",1170
Adair county community voice,adi2012091301,Columbia,Adair,"Adair%20county%20community%20voice,%202012-09-13","Adair%20county%20community%20voice,%202012-10-18",5
Adair progress (The),adp2012070501,Columbia,Adair,"Adair%20progress%20(The),%202012-07-05","Adair%20progress%20(The),%202015-06-25",79
Afro-American mission herald (The),afr1900050101,Louisville,Jefferson,"Afro-American%20mission%20herald%20(The),%201900-05-01","Afro-American%20mission%20herald%20(The),%201901-01-01",4
American citizen (The),amc1875111301,Lexington,Fayette,"American%20citizen%20(The),%201875-11-13","American%20citizen%20(The),%201875-11-13",1
American Baptist,ame1903041001,Louisville,Jefferson,"American%20Baptist,%201903-04-10","American%20Baptist,%201904-12-23",37
American independent (The),ami1931110101,Owensboro,Daviess,"American%20independent%20(The),%201931-11-01","American%20independent%20(The),%201932-05-01",4
Anderson news (The),and2011100501,Lawrenceburg,Anderson,"Anderson%20news%20(The),%202011-10-05","Anderson%20news%20(The),%202015-07-15",185
Appalachian news-express,app2012060601,Pikeville,Pike,"Appalachian%20news-express,%202012-06-06","Appalachian%20news-express,%202012-06-06",1
Bardstown herald (The),bar1851111301,Bardstown,Nelson,"Bardstown%20herald%20(The),%201851-11-13","Bardstown%20herald%20(The),%201853-04-07",59
Bee,bee1892042801,Earlington,Hopkins,"Bee,%201892-04-28","Bee,%201916-12-29",1516
Beattyville enterprise (The),bet2011052601,Beattyville,Lee,"Beattyville%20enterprise%20(The),%202011-05-26","Beattyville%20enterprise%20(The),%202015-07-16",105
Big Sandy news (The),big1885082701,Louisa,Lawrence,"Big%20Sandy%20news%20(The),%201885-08-27","Big%20Sandy%20news%20(The),%202015-02-04",1580
Blue-grass blade,blu1886020601,Lexington,Fayette,"Blue-grass%20blade,%201886-02-06","Blue-grass%20blade,%201910-08-21",428
Booneville sentinel,bne2012011201,Booneville,Owsley,"Booneville%20sentinel,%202012-01-12","Booneville%20sentinel,%202015-07-16",85
Bourbon news (The),bou1882030701,Paris,Bourbon,"Bourbon%20news%20(The),%201882-03-07","Bourbon%20news%20(The),%201922-12-29",2568
Bracken County news (The),bra2012011901,Brooksville,Bracken,"Bracken%20County%20news%20(The),%202012-01-19","Bracken%20County%20news%20(The),%202018-07-26",228
Breckenridge news (The),brc1878071701,Cloverport,Breckinridge,"Breckenridge%20news%20(The),%201878-07-17","Breckenridge%20news%20(The),%201921-06-22",1503
Breathitt County news,bre1903052901,Jackson,Breathitt,"Breathitt%20County%20news,%201903-05-29","Breathitt%20County%20news,%201909-09-03",212
